time,Piezo,Touch,Touch,Touch,Accel,Accel,Accel,Gyro,Gyro,Gyro,Temp
1409765579.02,126.0,992.0,1203.0,1076.0,0.0392,-2.4713,-9.4536,-0.0345,0.0006,-0.0012,23.61
1409765579.03,106.0,980.0,1188.0,1068.0,0.0,-2.3928,-9.4144,-0.036,0.0,-0.005,23.61
1409765579.04,147.0,984.0,1188.0,1080.0,0.0,-2.432,-9.2967,-0.0336,0.0026,-0.0005,23.62
1409765579.06,114.0,996.0,1204.0,1073.0,-0.0392,-2.4713,-9.2575,-0.0365,0.0011,0.0003,23.61
1409765579.07,140.0,992.0,1200.0,1084.0,0.0392,-2.3536,-9.3752,-0.0351,0.0008,-0.0032,23.62
1409765579.09,150.0,990.0,1196.0,1074.0,0.0392,-2.3928,-9.3752,-0.038,-0.0015,-0.0069,23.62
1409765579.1,135.0,989.0,1194.0,1083.0,0.0392,-2.4713,-9.4144,-0.0379,0.0006,-0.0044,23.61
1409765579.11,127.0,988.0,1192.0,1081.0,0.0392,-2.4713,-9.3752,-0.0368,0.0003,-0.0012,23.61
1409765579.13,123.0,989.0,1203.0,1081.0,0.0,-2.4713,-9.4144,-0.0386,0.0018,-0.0009,23.62
1409765579.14,130.0,979.0,1187.0,1082.0,0.0,-2.4713,-9.2967,-0.0389,0.0,-0.0014,23.63
1409765579.16,129.0,982.0,1206.0,1082.0,0.0785,-2.432,-9.3359,-0.0351,-0.0011,-0.0086,23.61
1409765579.17,99.0,992.0,1200.0,1076.0,0.0,-2.5105,-9.3752,-0.0368,0.0005,-0.0041,23.62
1409765579.19,151.0,989.0,1199.0,1083.0,0.0392,-2.432,-9.4144,-0.036,0.0011,-0.0011,23.64
1409765579.2,147.0,986.0,1192.0,1080.0,0.0,-2.4713,-9.3752,-0.037,-0.0003,-0.0041,23.63
1409765579.21,125.0,868.0,1196.0,1083.0,0.0785,-2.5105,-9.4144,-0.0385,-0.0003,-0.0037,23.61
1409765579.23,132.0,988.0,1197.0,1070.0,0.0392,-2.4713,-9.3752,-0.0389,0.0006,-0.0047,23.62
1409765579.24,180.0,995.0,1205.0,1084.0,0.0392,-2.432,-9.2967,-0.0327,0.0006,-0.002,23.62
1409765579.26,124.0,989.0,1200.0,1076.0,0.0785,-2.4713,-9.3359,-0.0365,0.0002,-0.0047,23.61
1409765579.27,129.0,970.0,1194.0,1082.0,0.0392,-2.4713,-9.2575,-0.0368,-0.0006,-0.0053,23.61
1409765579.28,139.0,980.0,1189.0,1085.0,0.0,-2.4713,-9.4144,-0.037,0.002,-0.0023,23.63
1409765579.3,124.0,991.0,1192.0,1073.0,0.0,-2.5105,-9.3359,-0.0403,-0.0003,-0.0069,23.62
